Slutpris,Title,Type,Location,Sale Date,Agent Name,Agent Link,Pris per kvadratmeter,Utgångspris,Prisutveckling,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift,Driftskostnad,Biarea,Tomtarea,Uteplats,Arrende,Förening,Sale Year,Sale Month,Sale Day
725000,Per albin hanssons väg 52B,Lägenhet,"Blekingsborg, Malmö kommun",2022-07-19,Henrik Feuk,https://www.hemnet.se/maklare/husmanhagberg-malmo-4545/henrik-feuk-19708,30851.0,695000,+30 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,"23,5 m²",Ja,"5 av 11, hiss finns",1957,2181.0,,,,,,,2022.0,7.0,19.0
695000,Baskemöllegatan 3 B,Lägenhet,"Sorgenfri, Malmö kommun",2017-03-15,Mathias Johansson,https://www.hemnet.se/maklare/husmanhagberg-malmo-4545/mathias-johansson-12238,25741.0,695000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,1946,1323.0,840.0,,,,,Brf Storbragden,2017.0,3.0,15.0
1006000,Vendelsfridsgatan 6B,Lägenhet,"Lorensborg, Malmö kommun",2019-07-03,Anders Backman,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/anders-backman-15211,37259.0,795000,+211 000 kr (+27 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,1959,1885.0,,,,,,,2019.0,7.0,3.0
310000,Vitlantgången 44 kolonistuga 44,Fritidshus,"Valdemarsro, Malmö kommun",2023-05-26,Lidija Jakob,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lidija-jakob-20520,,345000,-35 000 kr (-10 %),Fritidshus,Annat,2 rum,26 m²,,,,,,18 m²,259 m²,,,,2023.0,5.0,26.0
855000,Kungsgatan 27B,Lägenhet,"Värnhem, Malmö kommun",2019-06-30,Anders Nilsson,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/anders-nilsson-9587,31667.0,895000,-40 000 kr (-4 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,,2244.0,,,,,,,2019.0,6.0,30.0
1250000,Kungsgatan 27B,Lägenhet,"Rörsjöstaden, Malmö kommun",2022-06-03,Sara Persson,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/sara-persson-8993,46296.0,1250000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Nej,"4 av 6, hiss finns",1935,2025.0,,,,,,,2022.0,6.0,3.0
735000,Filippagången 350,Fritidshus,"Ärtholmens sommarstad, Malmö kommun",2020-08-26,Lennart Andén,https://www.hemnet.se/maklare/kolonimaklarna-725411/lennart-anden-17714,,575000,+160 000 kr (+28 %),Fritidshus,Annat,1 rum,28 m²,,,,,5200.0,12 m²,300 m²,Ja,5 900 kr/år,,2020.0,8.0,26.0
295000,Sallerupsvägen 32G,Lägenhet,"Ellstorp, Malmö kommun",2023-01-24,Rama Bernin,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/rama-bernin-21858,12826.0,295000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,23 m²,Nej,"1 av 4, hiss finns ej",1942,3861.0,,,,,,,2023.0,1.0,24.0
695000,Bragegatan 9,Lägenhet,"Dalaplan, Malmö kommun",2021-09-01,Sara Persson,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/sara-persson-8993,28958.0,695000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,24 m²,Nej,"1 av 4, hiss finns ej",1945,2325.0,,,,,,,2021.0,9.0,1.0
670000,Vitemöllegatan 10C,Lägenhet,"Nobeltorget, Malmö kommun",2018-06-14,Patrik Tegnhammar,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/patrik-tegnhammar-10542,27917.0,685000,-15 000 kr (-2 %),Lägenhet,Bostadsrätt,1 rum,24 m²,,,1945-1946,1923.0,,,,,,HSB Brf Friheten,2018.0,6.0,14.0
1280000,Västra Kristinelundsvägen 33B,Lägenhet,"Slottsstaden, Malmö kommun",2020-04-17,Anders Nilsson,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/anders-nilsson-9587,42105.0,1345000,-65 000 kr (-5 %),Lägenhet,Bostadsrätt,1 rum,"30,4 m²",Nej,,1948,2128.0,,,,,,,2020.0,4.0,17.0
1055000,Hässleholmsgatan 6,Lägenhet,"Nobeltorget, Malmö kommun",2022-10-13,Agneta Chong,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/agneta-chong-9177,42200.0,1045000,+10 000 kr (+1 %),Lägenhet,Bostadsrätt,1 rum,25 m²,Ja,"4 av 4, hiss finns ej",1936,1896.0,5280.0,,,,,,2022.0,10.0,13.0
682500,Viktoriagången 398,Fritidshus,"Ärtholmen, Malmö kommun",2021-08-15,Lars Ridell,https://www.hemnet.se/maklare/egema-fastighetsformedling-488/lars-ridell-2151,,745000,-62 500 kr (-8 %),Fritidshus,Annat,1 rum,20 m²,,,1930,,3500.0,8 m²,345 m²,,5 447 kr/år,,2021.0,8.0,15.0
1095000,Kilian Zollsgatan 9 B,Lägenhet,"Ribersborg, Malmö kommun",2016-10-07,Martin Arup,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/martin-arup-6181,39107.0,995000,+100 000 kr (+10 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1945,2116.0,2850.0,,,,,Brf Kilian 9,2016.0,10.0,7.0
1150000,Drottninggatan 6B,Lägenhet,"Rörsjöstaden, Malmö kommun",2022-10-10,Rebecka Ovesen Wågert,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/rebecka-ovesen-wagert-19855,39655.0,1175000,-25 000 kr (-2 %),Lägenhet,Bostadsrätt,1 rum,29 m²,Nej,"6 av 6, hiss finns",1935,2214.0,,,,,,,2022.0,10.0,10.0
895000,Gustaf Rydbergsgatan 7,Lägenhet,"Ribersborg, Malmö kommun",2014-01-31,Tobias Enckell,https://www.hemnet.se/maklare/riksbyggen-ekonomisk-forening-719511/tobias-enckell-6001,31964.0,895000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1943,2011.0,2160.0,,,,,Brf Rydbergshill,2014.0,1.0,31.0
380000,Vitemöllegatan 4F,Lägenhet,"Nobeltorget, Malmö kommun",2015-10-14,Roland Klarr,https://www.hemnet.se/maklare/ask-fastighetsformedling-711911/roland-klarr-10090,16522.0,295000,+85 000 kr (+29 %),Lägenhet,Bostadsrätt,1 rum,23 m²,,,1944,1766.0,4500.0,,,,,,2015.0,10.0,14.0
1195000,Rabygatan 65,Lägenhet,"Limhamn, Malmö kommun",2022-02-21,Johanna Olsson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-olsson-9058,41207.0,1295000,-100 000 kr (-8 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,"2 av 4, hiss finns",1954,2225.0,,,,,,,2022.0,2.0,21.0
1070000,Fredriksbergsgatan 8,Lägenhet,"City/Slussen, Malmö kommun",2023-11-06,Eric Roberts,https://www.hemnet.se/maklare/skandiamaklarna-malmo-city-34259/eric-roberts-18069,44583.0,1085000,-15 000 kr (-1 %),Lägenhet,Bostadsrätt,1 rum,24 m²,,"5 av 5, hiss finns ej",1926,1606.0,4800.0,,,,,,2023.0,11.0,6.0
925000,Trelleborgsgatan 4B,Lägenhet,"Folkets Park, Malmö kommun",2021-03-22,Lisa Ivarsson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lisa-ivarsson-14256,42045.0,995000,-70 000 kr (-7 %),Lägenhet,Bostadsrätt,1 rum,22 m²,Nej,"5 av 5, hiss finns ej",1935,1306.0,,,,,,,2021.0,3.0,22.0
400000,Jasmingången 3,Fritidsboende,"Västkustens koloniområde / Sibbarp, Malmö kommun",2016-08-05,David Blomberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/david-blomberg-217,,390000,+10 000 kr (+3 %),Fritidsboende,Äganderätt,2 rum,30 m²,,,60-tal,,996.0,12 m²,300 m²,,,,2016.0,8.0,5.0
1060000,Östra Ryttmästaregatan 15A,Lägenhet,"Slottsstaden, Malmö kommun",2019-01-18,Philip Ekdahl,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/philip-ekdahl-11614,37857.0,995000,+65 000 kr (+7 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1947,1715.0,,,,,,Brf Göinge 6,2019.0,1.0,18.0
945000,Osbygatan 11C,Lägenhet,"Nobeltorget, Malmö kommun",2020-09-04,Love Fält,https://www.hemnet.se/maklare/bulow-lind-fastighetsformedling-28267/love-falt-17703,35261.0,995000,-50 000 kr (-5 %),Lägenhet,Bostadsrätt,1 rum,"26,8 m²",Nej,,1936,1491.0,4700.0,,,,,,2020.0,9.0,4.0
850000,Dalaplan 4D,Lägenhet,"Dalaplan, Malmö kommun",2023-01-13,Malin van Ekström Ahlby,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/malin-van-ekstrom-ahlby-20906,27778.0,850000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"30,6 m²",Nej,"3 av 4, hiss finns ej",1936,1670.0,1920.0,,,,,,2023.0,1.0,13.0
446000,Sperlingsgatan 7c,Lägenhet,"Kirseberg, Malmö kommun",2015-07-17,Anders Nilsson,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/anders-nilsson-9587,15649.0,395000,+51 000 kr (+13 %),Lägenhet,Bostadsrätt,1 rum,"28,5 m²",,,1946-1949,2304.0,,,,,,HSB Brf Huggaren,2015.0,7.0,17.0
795000,Köpenhamnsvägen 13C,Lägenhet,"Slottsstaden, Malmö kommun",2017-11-29,Philip Ekdahl,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/philip-ekdahl-11614,38780.0,795000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"20,5 m²",,,1953,1117.0,,,,,,HSB Brf Bornholm,2017.0,11.0,29.0
1100000,Västra Varvsgatan 16 G,Lägenhet,"Västra Hamnen, Malmö kommun",2015-07-23,Johanna Olsson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-olsson-9058,41825.0,1050000,+50 000 kr (+5 %),Lägenhet,Bostadsrätt,1 rum,"26,3 m²",,,,1751.0,3500.0,,,,,Brf Ankarparken,2015.0,7.0,23.0
675000,Vitemöllegatan 10 C,Lägenhet,"Nobeltorget, Malmö kommun",2019-09-13,Ericka Nguyen,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/ericka-nguyen-8936,28125.0,675000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,24 m²,,,1945,1996.0,,,,,,,2019.0,9.0,13.0
1130000,Nikolaigatan 6,Lägenhet,"Triangeln, Malmö kommun",2018-05-17,Agneta Chong,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/agneta-chong-9177,38966.0,995000,+135 000 kr (+14 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,,1939,1688.0,4500.0,,,,,Brf Vesslan 15,2018.0,5.0,17.0
1525000,Major Nilssonsgatan 7B,Lägenhet,"Slottsstaden, Malmö kommun",2022-08-22,Caroline Wannerth,https://www.hemnet.se/maklare/skandiamaklarna-malmo-vaster-oster-718231/caroline-wannerth-19967,50833.0,1450000,+75 000 kr (+5 %),Lägenhet,Bostadsrätt,1 rum,30 m²,Ja,"3 av 3, hiss finns ej",,1550.0,,,,,,,2022.0,8.0,22.0
1050000,Major Nilssonsgatan 11A,Lägenhet,"Slottsstaden, Malmö kommun",2023-11-24,Lisa Ivarsson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lisa-ivarsson-14256,40385.0,1195000,-145 000 kr (-12 %),Lägenhet,Bostadsrätt,1 rum,26 m²,Nej,"1,5 av 3, hiss finns ej",1946,1808.0,,,,,,,2023.0,11.0,24.0
1555000,Regementsgatan 23,Lägenhet,"Ribersborg, Malmö kommun",2021-08-23,Martin Arup,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/martin-arup-6181,51833.0,1495000,+60 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,30 m²,Nej,"3 av 5, hiss finns",1937,2340.0,5700.0,,,,,,2021.0,8.0,23.0
680000,Roskildevägen 11c,Lägenhet,"Pildammarna, Malmö kommun",2015-08-03,Lennart Andén,https://www.hemnet.se/maklare/bocenter-fastighetsformedling-717791/lennart-anden-2543,26154.0,775000,-95 000 kr (-12 %),Lägenhet,Bostadsrätt,1 rum,26 m²,,,1946,1564.0,3000.0,,,,,,2015.0,8.0,3.0
660000,Ystadsgatan 47G,Lägenhet,"Möllevången/Sofielund, Malmö kommun",2015-08-06,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,21290.0,545000,+115 000 kr (+21 %),Lägenhet,Bostadsrätt,1 rum,31 m²,,,1937,2257.0,5360.0,,,,,Brf Urbilden,2015.0,8.0,6.0
1170000,Sölvesborgsgatan 1,Lägenhet,"Folkets Park, Malmö kommun",2021-08-09,Frida Nordeborg,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/frida-nordeborg-16470,46800.0,995000,+175 000 kr (+18 %),Lägenhet,Bostadsrätt,2 rum,25 m²,Nej,"5 av 5, hiss finns ej",1939,1777.0,4320.0,,,,,,2021.0,8.0,9.0
965000,Glasbruksgatan 2A,Lägenhet,"Limhamn, Malmö kommun",2020-07-02,Daniel Bokhari Friberg,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/daniel-bokhari-friberg-16292,48250.0,965000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,20 m²,Nej,,1950,1441.0,3620.0,,,,,,2020.0,7.0,2.0
650000,Serenadgatan 62,Lägenhet,"Högaholm, Malmö kommun",2023-07-13,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,24074.0,695000,-45 000 kr (-6 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Ja,"1 av 9, hiss finns",1971,1838.0,,,,,,,2023.0,7.0,13.0
1020000,Pilåkersvägen 4 a,Lägenhet,"Dammfri, Malmö kommun",2016-10-18,Elaine Mürgas,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/elaine-murgas-11453,40800.0,795000,+225 000 kr (+28 %),Lägenhet,Bostadsrätt,1 rum,25 m²,,,1951,1839.0,4700.0,,,,,HSB Brf Ängdala I Malmö,2016.0,10.0,18.0
500000,Cox Orangegången 348,Fritidsboende,"Ärtholmen, Malmö kommun",2017-04-21,David Blomberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/david-blomberg-217,,425000,+75 000 kr (+18 %),Fritidsboende,Äganderätt,1 rum,24 m²,,,,,3396.0,15 m²,300 m²,,,,2017.0,4.0,21.0
1175000,Ernst Ahlgrensgatan 4B,Lägenhet,"Ribersborg, Malmö kommun",2022-11-30,Linnéa Lindberg,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/linnea-lindberg-17954,40517.0,1195000,-20 000 kr (-2 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,"7 av 7, hiss finns",1953,2110.0,,,,,,,2022.0,11.0,30.0
1405000,Carl Herslowsgatan 9,Lägenhet,"Hästhagen, Malmö kommun",2018-12-22,Malin Fasth,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/malin-fasth-8117,53831.0,1395000,+10 000 kr (+1 %),Lägenhet,Bostadsrätt,1 rum,"26,1 m²",,,,1566.0,,,,,,Brf Hästhagen,2018.0,12.0,22.0
1415000,Kilian Zollsgatan 7B,Lägenhet,"Ribersborg, Malmö kommun",2021-03-07,Ola G Lindskog,https://www.hemnet.se/maklare/bodirekt-298/ola-g-lindskog-416,45645.0,1195000,+220 000 kr (+18 %),Lägenhet,Bostadsrätt,1 rum,31 m²,Ja,"1 av 4, hiss finns ej",1939,1921.0,,,,,,,2021.0,3.0,7.0
1295000,Roslins väg 14B,Lägenhet,"Ribersborg, Malmö kommun",2022-04-14,Dennis Berg,https://www.hemnet.se/maklare/bjurfors-jonkoping-711611/dennis-berg-10675,43167.0,1295000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,30 m²,Nej,"1 av 4, hiss finns ej",1953,2682.0,,,,,,,2022.0,4.0,14.0
1300000,"Östra Sommarstaden, Vitsippegången kolonistuga B2",Fritidshus,"Johanneslust, Malmö kommun",2021-04-20,Lisa Ivarsson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lisa-ivarsson-14256,,795000,+505 000 kr (+64 %),Fritidshus,Annat,2 rum,29 m²,,,,,,,434 m²,,6 926 kr/år,,2021.0,4.0,20.0
1150000,Hässleholmsgatan 4,Lägenhet,"Nobeltorget, Malmö kommun",2021-05-28,Emmeli Ryd,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-727551/emmeli-ryd-19179,46748.0,995000,+155 000 kr (+16 %),Lägenhet,Bostadsrätt,1 rum,"24,6 m²",Nej,"2 av 4, hiss finns ej",1936,1392.0,,,,,,,2021.0,5.0,28.0
950000,Erikslustvägen 42H,Lägenhet,"Slottsstaden, Malmö kommun",2018-03-22,Johanna Olsson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-olsson-9058,35185.0,950000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,,1714.0,,,,,,HSB Brf Erikslust,2018.0,3.0,22.0
900000,Producentgatan 1,Lägenhet,"Lindeborg, Malmö kommun",2023-02-10,Nour Khalil,https://www.hemnet.se/maklare/mohv-hyllie-725851/nour-khalil-21954,31034.0,895000,+5 000 kr (+1 %),Lägenhet,Bostadsrätt,"1,5 rum",29 m²,Nej,"1 av 8, hiss finns",1973,1782.0,,,,,,,2023.0,2.0,10.0
810000,Jasminlunden 130,Fritidshus,"Elinelund, Malmö kommun",2021-09-14,David Blomberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/david-blomberg-217,,695000,+115 000 kr (+17 %),Fritidshus,Annat,2 rum,30 m²,,,1954,,13300.0,"6,5 m²",390 m²,,,,2021.0,9.0,14.0
1075000,Rabygatan 69,Lägenhet,"Limhamn, Malmö kommun",2021-07-19,Ellie Knutsson Olsrup,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-727551/ellie-knutsson-olsrup-19045,37069.0,995000,+80 000 kr (+8 %),Lägenhet,Bostadsrätt,1 rum,29 m²,Nej,"2 av 4, hiss finns",1953,2160.0,4320.0,,,,,,2021.0,7.0,19.0
670000,Kungsgatan 27 B,Lägenhet,"Rörsjöstaden, Malmö kommun",2015-11-18,Ulf Björk,https://www.hemnet.se/maklare/bulow-lind-fastighetsformedling-28267/ulf-bjork-7802,29130.0,595000,+75 000 kr (+13 %),Lägenhet,Bostadsrätt,1 rum,23 m²,,,1934,1894.0,5040.0,,,,,,2015.0,11.0,18.0
1350000,Gustaf Rydbergsgatan 7,Lägenhet,"Ribersborg, Malmö kommun",2018-08-09,Filip Ericsson,https://www.hemnet.se/maklare/bjurfors-malmo-vaster-12366/filip-ericsson-9481,48214.0,1195000,+155 000 kr (+13 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1943-1951,1810.0,,,,,,Brf Rydbergshill,2018.0,8.0,9.0
1000000,Ellstorpsgatan 1A,Lägenhet,"Ellstorp, Malmö kommun",2021-08-04,Maja Gunnarsson,https://www.hemnet.se/maklare/fastighetsbyran-svedala-708631/maja-gunnarsson-18398,34965.0,975000,+25 000 kr (+3 %),Lägenhet,Bostadsrätt,1 rum,"28,6 m²",,"4 av 6, hiss finns",1939,1435.0,,,,,,,2021.0,8.0,4.0
525000,"Nr 351, Gång 2B",Fritidshus,"Mossängen, Malmö kommun",2019-05-14,David Blomberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/david-blomberg-217,,510000,+15 000 kr (+3 %),Fritidshus,Annat,2 rum,31 m²,,,1960,,12400.0,36 m²,378 m²,,,,2019.0,5.0,14.0
1130000,Eslövsgatan 1C,Lägenhet,"Västra Sorgenfri, Malmö kommun",2021-01-30,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,36452.0,1095000,+35 000 kr (+3 %),Lägenhet,Bostadsrätt,1 rum,31 m²,,"1 av 4, hiss finns ej",1939,2979.0,,,,,,,2021.0,1.0,30.0
1125000,Möllevångsgatan 30A,Lägenhet,"Triangeln, Malmö kommun",2019-06-10,Johan Dahlberg,https://www.hemnet.se/maklare/lansforsakringar-fastighetsformedling-malmo-39311/johan-dahlberg-12808,40179.0,1095000,+30 000 kr (+3 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1968,1874.0,3000.0,,,,,,2019.0,6.0,10.0
1130000,Östra Rönneholmsvägen 25,Lägenhet,"Hästhagen, Malmö kommun",2016-09-28,Anna Danielsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/anna-danielsson-9234,36452.0,995000,+135 000 kr (+14 %),Lägenhet,Bostadsrätt,1 rum,31 m²,,,1934,2080.0,2005.0,,,,,Brf Hövitsmannen 3,2016.0,9.0,28.0
930000,Nordlinds Väg 100 B,Lägenhet,"Rönneholm, Malmö kommun",2019-03-13,Agneta Chong,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/agneta-chong-9177,46500.0,895000,+35 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,20 m²,,,1956,1361.0,4100.0,,,,,HSB:s Brf Basunen,2019.0,3.0,13.0
745000,Hässleholmsgatan 5B,Lägenhet,"Nobeltorget, Malmö kommun",2016-09-28,Filip Ericsson,https://www.hemnet.se/maklare/bjurfors-malmo-vaster-12366/filip-ericsson-9481,29800.0,695000,+50 000 kr (+7 %),Lägenhet,Bostadsrätt,1 rum,25 m²,,,1937,1385.0,,,,,,Brf Ängen,2016.0,9.0,28.0
995000,Folketshusvägen 19,Lägenhet,"Klagshamn, Malmö kommun",2020-07-15,Therese Lagerfelt,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/therese-lagerfelt-15913,35536.0,995000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,"4 av 5, hiss finns",2019-2020,2113.0,2772.0,,,,,,2020.0,7.0,15.0
1215000,Ernst Ahlgrensgatan 4 A,Lägenhet,"Ribersborg, Malmö kommun",2018-10-26,Anna Danielsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/anna-danielsson-9234,50625.0,1195000,+20 000 kr (+2 %),Lägenhet,Bostadsrätt,1 rum,24 m²,,,1953,1486.0,3480.0,,,,,Brf Stjärnehus,2018.0,10.0,26.0
775000,Idaborgsgatan 57D,Lägenhet,"Ellstorp, Malmö kommun",2022-06-03,Filip Ericsson,https://www.hemnet.se/maklare/bjurfors-malmo-vaster-12366/filip-ericsson-9481,29808.0,745000,+30 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,26 m²,Nej,"2 av 6, hiss finns",1940,2138.0,,,,,,,2022.0,6.0,3.0
710000,Stuga 588 - Gång 7,Fritidshus,"Mossängen Sommarstad, Malmö kommun",2023-09-09,Lennart Andén,https://www.hemnet.se/maklare/kolonimaklarna-725411/lennart-anden-17714,,675000,+35 000 kr (+5 %),Fritidshus,Annat,2 rum,30 m²,,,1954,,2000.0,15 m²,380 m²,,11 300 kr/år,,2023.0,9.0,9.0
850000,Dansörgatan 12,Lägenhet,"Lindeborg, Malmö kommun",2023-10-08,Sharon Ma,https://www.hemnet.se/maklare/croisette-hyllie-708891/sharon-ma-18405,29310.0,895000,-45 000 kr (-5 %),Lägenhet,Bostadsrätt,1 rum,29 m²,Nej,"1 av 8, hiss finns",1973,1915.0,,,,,,,2023.0,10.0,8.0
995000,Ystadsgatan 47G,Lägenhet,"Nobeltorget, Malmö kommun",2020-10-16,Alexander Karlsson,https://www.hemnet.se/maklare/svensk-fastighetsformedling-malmo-701451/alexander-karlsson-17010,32097.0,995000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,31 m²,Ja,"4 av 4, hiss finns ej",1937,2204.0,4800.0,,,,,,2020.0,10.0,16.0
1120000,Älggatan 48A,Lägenhet,"Limhamn, Malmö kommun",2020-07-16,Johan Dahlgren,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/johan-dahlgren-465,39716.0,1125000,-5 000 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"28,2 m²",Nej,,1953,1790.0,,,,,,,2020.0,7.0,16.0
525000,Östra Farmvägen 37 C,Lägenhet,"Östra Sorgenfri, Malmö kommun",2016-07-10,[email protected],"https://www.hemnet.se/maklare/hemverket-ab-36511/info-hemverket,se-144",25000.0,525000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,21 m²,,,,1078.0,,,,,,HSB Bostadsrättsförening Manligheten i Malmö,2016.0,7.0,10.0
750000,Lektorsgatan 3 B,Lägenhet,"Nydala, Malmö kommun",2021-02-27,Martina Ahlberg,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/martina-ahlberg-16952,25424.0,750000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"29,5 m²",Ja,"1 av 4, hiss finns ej",1962,2023.0,,,,,,,2021.0,2.0,27.0
